Model,Group,Understandability Q1,Understandability Median,Understandability Q3,Completeness Q1,Completeness Median,Completeness Q3,Usefulness Q1,Usefulness Median,Usefulness Q3,Trustworthiness Q1,Trustworthiness Median,Trustworthiness Q3
mixtral:8x7b,Academic Knowledge,0.314,0.5,0.814,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.684,0.75
mixtral:8x7b,Quantitative Reasoning,0,0,0.312,0,0,0.174,0,0,0.03,0,0,0.2
mixtral:8x7b,Qualitative Reasoning,0.593,0.686,0.718,0.551,0.601,0.676,0.439,0.5,0.5,0.625,0.75,0.75
mixtral:8x7b,Problem Solving Ability,0.468,0.5,0.718,0.375,0.75,0.875,0.439,0.75,0.875,0.533,0.816,0.908
phi3:3.8b,Procedural Knowledge,0,0,0,0,0,0,0,0,0,0,0,0
phi3:3.8b,Academic Knowledge,0,0,0,0,0,0,0,0,0,0,0,0
phi3:3.8b,Quantitative Reasoning,0,0,0.312,0,0,0.149,0,0,0.193,0,0,0.016
phi3:3.8b,Qualitative Reasoning,0.75,1,1,0.75,1,1,0.75,1,1,0.75,1,1
phi3:3.8b,Problem Solving Ability,0.782,0.814,0.907,0.5,0.5,0.75,0.436,0.621,0.811,0.717,0.75,0.875
phi3:medium,Procedural Knowledge,0,0,0,0,0,0,0,0,0,0,0,0
phi3:medium,Academic Knowledge,0,0.75,0.814,0,0.75,0.75,0.25,0.629,0.75,0,0.684,0.75
phi3:medium,Quantitative Reasoning,0.64,0.718,1,0.362,0.5,0.787,0.188,0.375,0.75,0.25,0.467,0.75
phi3:medium,Qualitative Reasoning,0,0,0,0,0,0,0,0,0,0,0,0
phi3:medium,Problem Solving Ability,0.218,0.436,0.718,0.074,0.149,0.574,0.061,0.121,0.375,0.125,0.25,0.625
qwen2.5:14b,Procedural Knowledge,0,0.5,0.75,0.25,0.25,0.5,0.25,0.25,0.621,0.25,0.25,0.25
qwen2.5:14b,Academic Knowledge,0.314,0.564,1,0.25,0.649,1,0.379,0.629,0.75,0.25,0.316,0.566
qwen2.5:14b,Quantitative Reasoning,0.814,0.907,1,0.75,0.949,1,0.938,1,1,0.75,1,1
qwen2.5:14b,Qualitative Reasoning,0.843,1,1,0.824,0.899,0.949,0.561,0.75,0.875,0.875,1,1
qwen2.5:14b,Problem Solving Ability,0.657,0.75,0.875,0.625,0.75,0.875,0.625,0.75,0.875,0.533,0.566,0.783
qwen2.5:7b,Procedural Knowledge,0.314,0.5,0.686,0.25,0.351,0.601,0.129,0.25,0.5,0.25,0.25,0.5
qwen2.5:7b,Academic Knowledge,0.186,0.75,0.936,0,0.25,0.601,0.379,0.5,0.75,0,0.25,0.75
qwen2.5:7b,Quantitative Reasoning,0.64,0.936,1,0.112,0.524,0.812,0.346,0.75,1,0.25,0.684,0.812
qwen2.5:7b,Qualitative Reasoning,0.782,0.814,0.907,0.699,0.75,0.875,0.568,0.629,0.814,0.717,0.75,0.875
qwen2.5:7b,Problem Solving Ability,0.375,0.5,0.75,0.551,0.601,0.801,0.436,0.5,0.625,0.467,0.5,0.625
