Model,question_number,S1.1,S1.2,S2.1,S2.2,S3.1,S3.2,S4.1,S4.2,S5.1,S5.2
n,56,5,5,3,3,1,1,3,3,3,3
n,70,2,4,4,5,2,2,4,3,3,2
n,70,4,2,3,4,4,3,4,4,4,4
n,70,5,5,4,4,5,5,5,5,5,5
n,75,4,5,2,3,1,1,2,3,4,3
n,75,5,4,3,3,4,4,4,4,4,4
n,75,4,4,4,4,3,3,2,4,4,4
n,79,4,5,2,2,1,4,1,2,3,2
n,79,3,3,2,3,3,4,3,4,3,4
n,79,5,5,5,5,5,5,5,4,5,4
n,84,4,4,3,3,2,4,4,2,4,3
n,84,4,3,3,4,4,4,2,2,2,3
n,84,5,5,4,5,3,4,4,4,4,4
n,89,2,2,2,1,3,2,2,2,2,2
n,89,4,3,1,1,1,2,2,2,1,1
n,89,4,5,2,2,1,4,3,2,2,2
n,99,5,4,4,4,5,4,1,2,2,2
n,99,2,2,2,2,2,2,2,2,2,2
n,99,2,2,1,1,2,2,1,1,1,1
n,105,5,3,1,1,1,1,1,1,1,1
n,105,4,4,4,3,3,4,3,4,2,2
n,105,5,5,5,5,4,4,4,3,3,3
p,5,1,1,1,1,1,1,1,1,1,1
p,5,1,1,1,1,1,1,1,1,1,1
p,5,1,1,1,1,1,1,1,1,1,1
p,35,1,1,1,1,1,1,1,1,1,1
p,35,1,1,1,1,1,1,1,1,1,1
p,35,1,1,1,1,1,1,1,1,1,1
p,43,1,1,1,1,1,1,1,1,1,1
p,43,1,1,1,1,1,1,1,1,1,1
p,43,1,1,1,1,1,1,1,1,1,1
p,45,3,3,2,1,1,4,1,4,2,1
p,45,2,2,2,2,1,2,1,1,1,1
p,45,4,4,2,1,2,4,2,2,3,3
p,56,1,1,1,1,1,1,1,1,1,1
p,56,1,1,1,1,1,1,1,1,1,1
p,56,1,1,1,1,1,1,1,1,1,1
p,70,1,1,1,1,1,1,1,1,1,1
p,70,4,4,4,4,4,4,4,3,4,4
p,70,1,1,1,1,1,1,1,1,1,1
p,75,3,3,3,3,3,3,3,3,3,3
p,75,5,5,5,5,5,5,5,5,5,5
p,75,5,5,5,5,5,5,5,5,5,5
p,79,1,1,1,1,1,1,1,1,1,1
p,79,1,1,1,1,1,1,1,1,1,1
p,79,1,1,1,1,1,1,1,1,1,1
p,84,1,1,1,1,1,1,1,1,1,1
p,84,1,1,1,1,1,1,1,1,1,1
p,84,1,1,1,1,1,1,1,1,1,1
p,89,4,4,3,3,4,3,4,3,4,4
p,89,4,5,5,5,5,5,5,5,4,4
p,89,5,5,3,3,2,2,4,4,2,2
p,99,5,4,4,4,4,5,4,4,4,3
p,99,1,1,1,1,1,1,1,1,1,1
p,99,1,1,1,1,1,1,1,1,1,1
p,105,1,1,1,1,1,1,1,1,1,1
p,105,1,1,1,1,1,1,1,1,1,1
p,105,1,1,1,1,1,1,1,1,1,1
q,5,2,2,2,2,3,4,4,3,1,1
q,5,4,3,3,3,2,2,2,2,4,2
q,5,5,5,4,4,4,4,4,4,4,1
q,35,5,3,1,1,3,3,1,1,1,1
q,35,5,5,2,2,2,3,2,1,4,4
q,35,2,1,1,1,1,1,1,1,1,1
q,43,3,3,1,1,2,2,2,2,1,1
q,43,5,5,1,1,1,1,1,1,1,1
q,43,1,3,2,2,2,4,3,2,2,3
q,45,5,4,4,4,4,4,4,3,4,4
q,45,5,5,5,5,5,5,5,5,5,5
q,45,5,5,5,5,5,5,5,5,5,5
q,56,4,3,4,3,4,4,4,3,3,3
q,56,4,4,4,4,5,5,4,3,4,3
q,56,1,1,1,1,4,4,4,4,3,3
q,70,4,3,2,4,1,2,1,3,3,2
q,70,2,4,2,2,1,2,2,1,2,2
q,70,3,3,2,4,2,2,3,3,4,4
q,75,4,4,4,3,2,4,4,3,3,2
q,75,4,5,4,4,3,4,4,4,5,4
q,75,5,5,5,5,5,5,5,5,5,5
q,79,4,4,3,4,3,4,3,3,4,3
q,79,5,5,5,5,5,5,5,5,5,5
q,79,4,4,4,4,4,4,4,4,4,4
q,84,2,3,2,2,3,3,2,2,1,1
q,84,4,3,4,3,2,2,2,2,2,2
q,84,1,1,1,1,1,1,1,1,2,3
q,89,2,2,3,4,3,2,3,2,1,2
q,89,3,3,3,3,3,3,3,3,3,3
q,89,5,5,5,5,4,4,4,4,4,4
q,99,5,5,2,2,2,2,2,2,2,2
q,99,5,4,3,1,4,3,2,2,1,1
q,99,5,5,5,5,5,5,5,5,5,5
q,105,1,1,1,1,3,3,4,4,4,4
q,105,1,1,1,1,1,1,1,1,1,1
q,105,5,4,3,2,4,4,2,2,1,2
w,5,5,3,5,5,5,5,5,5,5,5
w,5,3,3,2,3,2,2,1,1,1,1
w,5,3,4,2,3,2,3,2,2,3,3
w,35,2,3,2,2,2,2,2,2,2,2
w,35,3,3,1,1,2,2,4,4,2,2
w,35,1,1,1,1,1,1,1,2,1,1
w,43,4,5,2,2,1,1,1,1,1,1
w,43,2,2,2,2,2,2,2,2,2,2
w,43,4,4,1,1,1,1,3,3,1,1
w,45,1,1,1,1,1,1,1,1,1,1
w,45,1,1,1,1,1,1,1,1,1,1
w,45,1,1,1,1,1,1,1,1,1,1
w,56,1,1,3,1,2,1,2,1,1,1
w,56,1,1,2,1,1,1,1,1,2,1
w,56,1,1,1,1,1,1,1,1,1,1
w,70,4,4,4,4,4,4,4,4,4,4
w,70,3,3,3,3,3,3,3,3,3,3
w,70,4,4,3,3,2,2,3,3,3,3
w,75,4,4,4,4,2,3,4,4,3,3
w,75,4,3,3,4,3,3,4,4,5,4
w,75,3,3,3,3,3,3,3,3,3,3
w,79,4,5,4,4,4,4,4,4,4,4
w,79,5,5,5,5,5,5,5,4,5,5
w,79,4,4,4,4,4,4,4,3,3,4
w,84,2,2,2,3,2,3,4,5,4,5
w,84,4,4,4,4,4,5,4,5,4,4
w,84,5,5,3,3,3,4,2,2,4,3
w,89,5,3,5,5,5,5,5,5,5,5
w,89,3,4,4,4,4,4,4,5,4,5
w,89,3,2,1,1,1,2,2,2,2,2
w,99,3,3,3,3,3,3,3,3,3,3
w,99,1,1,1,1,1,1,1,1,1,1
w,99,1,1,1,1,1,1,1,1,1,1
w,105,5,5,2,3,4,4,1,1,1,1
w,105,2,2,2,2,2,2,2,2,2,2
w,105,3,3,2,2,2,2,4,4,1,1
x,5,3,4,2,1,2,4,3,4,2,2
x,5,2,1,3,3,3,3,2,1,1,1
x,5,3,2,2,1,1,1,2,2,1,1
x,35,4,4,4,4,4,4,4,4,2,2
x,35,5,5,2,2,4,4,3,3,2,2
x,35,5,4,4,5,4,4,4,4,1,1
x,43,3,3,2,2,1,1,3,3,1,2
x,43,3,3,2,1,4,4,3,2,2,2
x,43,1,1,1,1,2,1,1,2,2,2
x,45,2,2,2,3,1,1,1,1,1,1
x,45,2,2,1,2,2,2,1,1,2,2
x,45,4,4,2,2,2,2,2,2,2,2
x,56,2,2,1,2,1,1,1,1,1,1
x,56,2,2,2,2,2,2,2,2,2,2
x,56,2,2,1,1,1,1,1,1,1,2
x,70,2,2,2,2,2,2,2,2,2,2
x,70,5,5,4,4,4,4,4,4,4,4
x,70,5,5,2,3,2,2,2,2,2,2
x,75,5,5,5,5,4,4,5,5,4,4
x,75,4,2,3,4,2,3,4,4,4,4
x,75,5,5,5,5,5,5,5,5,5,5
x,79,5,5,5,5,5,5,4,5,4,4
x,79,3,4,4,4,4,4,4,4,5,4
x,79,5,5,5,5,5,5,5,5,5,5
x,84,1,1,1,1,1,1,1,1,1,1
x,84,2,1,2,1,1,1,1,1,1,1
x,84,3,3,2,2,2,2,2,2,2,2
x,89,5,5,2,2,2,2,2,2,4,4
x,89,2,1,2,2,2,1,1,1,1,1
x,89,3,3,3,3,3,3,3,3,3,3
x,99,4,4,4,4,4,4,4,3,2,2
x,99,5,5,5,5,5,5,3,4,5,5
x,99,2,2,2,1,1,1,1,1,1,1
x,105,4,4,5,4,5,5,5,5,4,4
x,105,2,2,2,2,4,3,2,2,2,2
x,105,5,5,2,2,4,4,2,2,1,2
y,5,1,1,1,1,1,1,1,1,1,1
y,5,1,1,1,1,1,1,1,1,1,1
y,5,3,3,3,3,3,3,3,3,3,3
y,35,1,1,1,1,1,1,1,1,1,1
y,35,4,5,4,5,3,4,4,4,4,4
y,35,1,1,1,1,1,1,1,1,1,1
y,43,4,3,4,4,4,4,4,4,4,4
y,43,4,5,5,5,3,4,4,4,3,4
y,43,5,5,3,4,2,2,4,4,4,4
y,45,5,3,5,5,4,4,4,4,4,4
y,45,3,2,3,3,1,1,1,1,3,3
y,45,5,5,5,4,5,5,5,5,5,5
y,56,3,3,1,1,1,1,1,1,2,2
y,56,4,4,2,1,4,4,2,2,2,2
y,56,5,5,3,3,2,2,3,3,2,2
y,70,1,1,1,1,1,1,1,1,1,1
y,70,1,1,1,1,1,1,1,1,1,1
y,70,1,1,1,1,1,1,1,1,1,1
y,75,1,1,1,1,1,1,1,1,1,1
y,75,1,1,1,1,1,1,1,1,1,1
y,75,1,1,1,1,1,1,1,1,1,1
y,79,4,4,4,4,4,4,4,3,4,4
y,79,4,4,5,4,4,4,4,4,4,4
y,79,4,5,5,5,4,4,4,4,5,5
y,84,1,1,1,1,1,1,1,1,1,1
y,84,1,1,1,1,1,1,1,1,1,1
y,84,1,1,1,1,1,1,1,1,1,1
y,89,1,1,1,1,1,1,1,1,1,1
y,89,3,2,2,1,2,1,2,2,2,3
y,89,5,5,5,5,3,4,5,5,5,5
y,99,4,3,2,2,2,2,2,2,2,2
y,99,2,3,3,2,1,1,2,2,1,1
y,99,4,4,4,3,3,3,3,2,2,2
y,105,3,3,3,3,3,3,3,3,3,3
y,105,4,5,4,4,3,4,4,3,4,3
y,105,1,1,1,1,2,2,1,1,1,1
z,5,1,1,1,1,1,1,2,1,1,1
z,5,4,4,4,4,2,2,2,2,2,2
z,5,1,1,3,3,2,2,2,2,1,1
z,35,2,2,2,3,3,3,2,2,1,1
z,35,4,4,4,4,3,4,3,4,2,4
z,35,5,5,5,5,4,4,2,2,1,1
z,43,5,5,5,5,5,5,5,5,5,5
z,43,4,5,5,4,5,5,4,4,4,5
z,43,5,5,4,4,3,4,4,4,3,4
z,45,5,5,5,5,5,5,5,5,5,5
z,45,4,5,4,4,5,5,4,5,4,4
z,45,5,5,5,5,5,5,5,5,5,5
z,56,5,5,5,5,5,5,5,5,5,5
z,56,3,3,4,4,5,5,5,5,4,5
z,56,4,3,4,4,4,4,5,4,5,4
z,70,4,4,3,3,2,2,4,4,1,1
z,70,5,5,2,2,4,4,1,1,2,1
z,70,3,3,2,2,2,2,2,2,2,2
z,75,5,5,5,4,4,4,5,4,5,3
z,75,4,3,4,4,3,2,4,5,5,5
z,75,5,5,5,5,5,5,5,5,5,5
z,79,3,3,4,3,3,4,3,3,4,4
z,79,5,5,5,5,5,4,5,4,5,4
z,79,5,5,5,5,5,5,5,5,5,5
z,84,5,5,4,4,4,4,2,2,3,3
z,84,3,3,2,2,2,2,2,2,1,1
z,84,1,1,2,1,4,3,3,3,2,1
z,89,3,4,3,3,3,4,3,3,3,3
z,89,5,5,5,5,5,5,5,5,5,5
z,89,4,4,4,4,4,3,3,4,4,4
z,99,4,5,5,5,5,5,4,5,5,5
z,99,4,5,4,4,3,4,3,4,4,3
z,99,5,5,5,5,5,5,5,5,5,5
z,105,2,3,2,2,2,2,2,2,2,2
z,105,2,2,3,2,1,1,2,3,3,3
z,105,3,4,2,1,1,4,1,2,2,3
